year,inv,pop,price,linv,lpop,lprice,invpc,linvpc
1947,54864,144126,0.81900001,10.912613,11.878443,-0.19967119,0.38066691,-0.9658305
1948,64717,146631,0.86489999,11.077779,11.895675,-0.14514139,0.44135961,-0.81789529
1949,63150,149188,0.84560001,11.053268,11.912963,-0.16770883,0.42329141,-0.85969442
1950,86014,151684,0.87650001,11.362266,11.929555,-0.13181856,0.56706047,-0.56728935
1951,70610,154287,0.88190001,11.164927,11.946569,-0.12567659,0.45765358,-0.78164274
1952,68574,156954,0.88419998,11.135669,11.963708,-0.12307202,0.43690509,-0.82803929
1953,70818,159565,0.88679999,11.167869,11.980206,-0.12013581,0.44381914,-0.81233817
1954,78460,162391,0.85970002,11.270344,11.997763,-0.15117176,0.48315486,-0.72741807
1955,91204,165275,0.87080002,11.420854,12.015366,-0.13834293,0.55183178,-0.59451205
1956,80383,168221,0.8829,11.294558,12.033034,-0.12454334,0.47784165,-0.73847586
1957,74040,171274,0.87220001,11.21236,12.05102,-0.13673651,0.43228978,-0.83865911
1958,74822,174141,0.85210001,11.222867,12.06762,-0.16005138,0.42966333,-0.84475332
1959,88936,177830,0.86470002,11.395672,12.088583,-0.14537263,0.50011808,-0.69291103
1960,83127,180671,0.86199999,11.328125,12.104433,-0.14850003,0.46010152,-0.77630812
1961,83207,183691,0.85530001,11.329086,12.12101,-0.15630299,0.45297265,-0.79192352
1962,89121,186538,0.85930002,11.39775,12.136391,-0.15163715,0.47776324,-0.73864001
1963,96778,189242,0.86559999,11.480175,12.150782,-0.14433238,0.51139808,-0.67060697
1964,94306,191889,0.87949997,11.4543,12.164672,-0.12840174,0.49146122,-0.71037227
1965,100103,194303,0.87739998,11.513955,12.177174,-0.1307923,0.51519018,-0.66321915
1966,92145,196560,0.87830001,11.431119,12.188723,-0.12976705,0.46878815,-0.7576043
1967,91336,198712,0.8919,11.4223,12.199612,-0.11440126,0.45964009,-0.7773115
1968,99617,200706,0.90359998,11.509089,12.209597,-0.10136852,0.49633294,-0.7005083
1969,102183,202677,0.9152,11.53452,12.219369,-0.088612661,0.50416672,-0.68484825
1970,96855,205052,0.88230002,11.48097,12.231019,-0.12522313,0.47234359,-0.75004858
1971,124309,207191,0.87980002,11.730526,12.241396,-0.12806064,0.59997296,-0.5108707
1972,147269,209353,0.88739997,11.900016,12.251777,-0.11945947,0.70344824,-0.35176098
1973,145286,211536,0.90570003,11.886459,12.262151,-0.099047124,0.68681455,-0.37569097
1974,112349,213743,0.92320001,11.629365,12.27253,-0.079909369,0.5256266,-0.64316422
1975,95170,215973,0.91469997,11.46342,12.282908,-0.089159168,0.44065693,-0.81948864
1976,117727,218280,0.9199,11.676124,12.293534,-0.083490312,0.53933936,-0.6174103
1977,142412,220612,0.96039999,11.86648,12.304161,-0.04040543,0.64553154,-0.43768123
1978,151261,222968,1.0061001,11.926762,12.314783,0.006081529,0.67839777,-0.38802147
1979,143049,225350,1.0355999,11.870942,12.32541,0.034980919,0.63478589,-0.45446751
1980,112310,227757,1.0432,11.629018,12.336035,0.042292926,0.49311328,-0.70701635
1981,102714,230139,1.0282,11.539703,12.346438,0.02780973,0.44631287,-0.80673504
1982,84676,232520,1,11.346587,12.356731,0,0.36416653,-1.010144
1983,122819,234799,0.98360002,11.718467,12.366485,-0.016535947,0.52308142,-0.64801812
1984,145166,237001,0.98360002,11.885633,12.375819,-0.016535947,0.61251217,-0.49018645
1985,146311,239279,0.97600001,11.89349,12.385386,-0.024292681,0.61146611,-0.49189574
1986,168406,241625,0.97600001,12.034133,12.395143,-0.024292681,0.69697261,-0.36100918
1987,167459,243934,0.9892,12.028494,12.404653,-0.010858747,0.68649304,-0.37615919
1988,165459,246329,0.98640001,12.016479,12.414423,-0.013693319,0.67169923,-0.39794463
